source,author,title,description,url,urlToImage,publishedAt,content
"{'id': 'business-insider', 'name': 'Business Insider'}",Theron Mohamed,Elon Musk is now worth just under $200 billion — and Jeff Bezos is only $15 billion behind,"Tesla stock is down 26% this year due to investor concern about its sales growth, slashing Elon Musk's net worth by $30 billion.",https://markets.businessinsider.com/news/stocks/elon-musk-tesla-stock-mania-net-worth-wealth-jeff-bezos-2024-1,https://i.insider.com/5c868e322730ca423f378bab?width=1200&format=jpeg,2024-01-29T12:04:02Z,"Elon Musk is still the world's richest person – for now.Jewel Samad/AFP/Getty Images
<ul>
<li>Elon Musk's wealth is down $30 billion this year to just under $200 billion, per Bloomberg.</li>
<li>Tes… [+3328 chars]"
"{'id': None, 'name': 'MarketWatch'}",Louis Goss,LVMH leads luxury shares rally following record 2023 results despite market slump,LVMH Moet Hennessy Louis Vuitton’s Paris listed shares surged on Friday following the luxury firm’s decision to hike its dividend on the back of record 2023...,https://www.marketwatch.com/story/lvmh-leads-luxury-shares-rally-following-record-2023-results-despite-market-slump-19912b2f,https://images.mktw.net/im-23687085/social,2024-01-26T10:49:00Z,"LVMH Moet Hennessy Louis Vuittons Paris listed shares surged on Friday following the luxury firms decision to hike its dividend on the back of record 2023 results, in a rally that lifted shares acros… [+2444 chars]"
"{'id': None, 'name': 'MarketWatch'}",Jamie Chisholm,Watches of Switzerland stock falls by nearly a third after ‘volatile’ Christmas,"Shares in Watches of Switzerland plunged by nearly a third on Thursday, after the luxury watch seller warned that sales would be lower than expected after U.K. shoppers eschewed expensive trinkets during the crucial festive season.",https://www.marketwatch.com/story/watches-of-switzerland-stock-falls-by-nearly-a-third-after-volatile-christmas-98c5a2cf,https://images.mktw.net/im-816426/social,2024-01-18T12:31:00Z,"Shares in Watches of Switzerland plunged by nearly a third on Thursday, after the luxury watch seller warned that sales would be lower than expected after U.K. shoppers eschewed expensive trinkets du… [+2942 chars]"
"{'id': None, 'name': 'Quartz India'}",Melvin Backman and Laura Bratton,Elon Musk and Bernard Arnault keep taking turns as the world's richest person,The richest person in the world depended on who you asked on Monday — and when you asked.Bloomberg said Elon Musk on Monday morning; Forbes said Bernard Arnault.Read more...,https://qz.com/elon-musk-bernard-arnault-worlds-richest-person-1851207288,"https://i.kinja-img.com/image/upload/c_fill,h_675,pg_1,q_80,w_1200/0a5ff93a0b6fb3aadfc1ceb19ae8a6ab.png",2024-01-29T22:31:00Z,"The richest person in the world depended on who you asked on Monday and when you asked. Bloomberg said Elon Musk on Monday morning; Forbes said Bernard Arnault.
Arnault, the chairman of luxury congl… [+2078 chars]"
"{'id': None, 'name': 'Quartz India'}",Melvin Backman,Elon Musk just lost his spot as the richest person in the world,The ever-changing winds of fortune atop the world’s ranking of billionaires are no longer blowing in Elon Musk’s favor: He’s been overtaken once again by LVMH chairman and CEO Bernard Arnault as the world’s richest man. Though Bloomberg’s Billionaire Index st…,https://qz.com/elon-musk-tesla-bernard-arnault-lvmh-billionaires-1851206350,"https://i.kinja-img.com/image/upload/c_fill,h_675,pg_1,q_80,w_1200/0765d68f48bc1f14ea4456b2811e01df.jpg",2024-01-29T19:23:00Z,The ever-changing winds of fortune atop the worlds ranking of billionaires are no longer blowing in Elon Musks favor: Hes been overtaken once again by LVMH chairman and CEO Bernard Arnault as the wor… [+960 chars]
"{'id': None, 'name': 'Forbes'}","James Farrell, Forbes Staff, 
 James Farrell, Forbes Staff
 https://www.forbes.com/sites/jamesfarrell/",Bernard Arnault Overtakes Elon Musk As Richest Person In The World,French billionaire Bernard Arnault—owner of luxury brands like Louis Vuitton and Sephora—is now the richest man in the world.,https://www.forbes.com/sites/jamesfarrell/2024/01/26/bernard-arnault-overtakes-elon-musk-as-richest-person-in-the-world/,"https://imageio.forbes.com/specials-images/imageserve/65b3dca10b4132d1b54520d4/0x0.jpg?format=jpg&crop=3307,1862,x0,y170,safe&height=900&width=1600&fit=bounds",2024-01-26T16:25:22Z,"Bernard Arnault, the billionaire chairman and CEO of global luxury goods company LVMHthe entity behind dozens of luxury goods brands like Louis Vuitton and Sephorais now the richest man in the world,… [+1500 chars]"
"{'id': None, 'name': 'MarketWatch'}",Jamie Chisholm,The correlation between bonds and stocks has ruptured. It’s not a problem for equities says this analyst,Stocks can still rally further providing 2-year yields stabilize says DataTraek,https://www.marketwatch.com/story/the-correlation-between-bonds-and-stocks-has-ruptured-its-not-a-problem-for-equities-says-this-analyst-21bfbb4d,https://images.mktw.net/im-821385/social,2024-01-26T11:32:00Z,"Early Friday skirmishing in the stock index futures market suggests the S&amp;P 500 will struggle to reach a sixth successive record high. Technology stocks are on course to lead the retreat, as a 10… [+9079 chars]"
"{'id': None, 'name': 'Biztoc.com'}",zerohedge.com,Daily All Time High In Peril As Futures Dip After Intel Tumbles,"Daily All Time High In Peril As Futures Dip After Intel Tumbles After hitting a record high for 5 consecutive days, the daily tech-led meltup is in peril after Intel reported solid earnings but disappointed consensus with weak guidance, sending the stock tumb…",https://biztoc.com/x/abd111a10b84ff33,https://c.biztoc.com/p/abd111a10b84ff33/s.webp,2024-01-26T13:36:06Z,"Daily All Time High In Peril As Futures Dip After Intel Tumbles
After hitting a record high for 5 consecutive days, the daily tech-led meltup is in peril after Intel reported solid earnings but disa… [+264 chars]"
"{'id': None, 'name': 'Forbes'}","Derek Saul, Forbes Staff, 
 Derek Saul, Forbes Staff
 https://www.forbes.com/sites/dereksaul/",Stock Market Poised For Big Milestones This Week—Here Are The Ones To Watch,An all-time high for a major stock index and one beleaguered tech giant’s first-ever $1 trillion valuation are well within reach.,https://www.forbes.com/sites/dereksaul/2024/01/16/stock-market-poised-for-big-milestones-this-week-here-are-the-ones-to-watch/,"https://imageio.forbes.com/specials-images/imageserve/65a6ac77a6ead764e1e5bf45/0x0.jpg?format=jpg&crop=2941,1655,x0,y0,safe&height=900&width=1600&fit=bounds",2024-01-16T16:20:59Z,"An alreadyeventful 2024 for the stock market is set to storm ahead toward several notable events this week, including a shakeup among the worlds most valuable companies and a possible all-time high f… [+3143 chars]"
"{'id': None, 'name': 'Forbes'}","Siladitya Ray, Forbes Staff, 
 Siladitya Ray, Forbes Staff
 https://www.forbes.com/sites/siladityaray/",Tesla Drops In Pre-Market After Musk Seeks 25% Control Of The Company,Musk said a 15% or lower voting power means “a takeover by dubious interests too easy.”,https://www.forbes.com/sites/siladityaray/2024/01/16/tesla-drops-in-pre-market-after-musk-seeks-25-control-of-the-company/,"https://imageio.forbes.com/specials-images/imageserve/65a664d037d877ebbf3ca5e2/0x0.jpg?format=jpg&crop=2857,1606,x0,y0,safe&height=900&width=1600&fit=bounds",2024-01-16T11:41:28Z,Teslas stock was down around 2% in pre-market trading early on Tuesday after the companys CEO Elon Musk warned Monday he would start building AI and robotics products outside the company unless he ga… [+2160 chars]
