newscontents,label
Altia operating profit jumped to EUR 47 million from EUR 6.6 million .,1
The agreement was signed with Biohit Healthcare Ltd the UK based subsidiary of Biohit Oyj a Finnish public company which develops manufactures and markets liquid handling products and diagnostic test systems .,1
Kesko pursues a strategy of healthy focused growth concentrating on sales and services to consumer customers .,1
Vaisala headquartered in Helsinki in Finland develops and manufactures electronic measurement systems for meteorology environmental sciences traffic and industry .,0
Also a six year historic analysis is provided for these markets .,0
Elcoteq stock of orders has stabilised in the past weeks Mr Krippl said .,1
Also a six year historic analysis is provided for this market .,0
In addition nine fixed term employment contracts will not be extended and two people will leave the company under pension arrangements .,0
Operating loss totalled EUR 0.9 mn down from a profit of EUR 2.7 mn .,-1
The Insolvency Act regulates the amount of debt that borrowers are permitted to write off .,0
The company will issue an inaugural Eurobond deal in the near future subject to market conditions .,0
Airbus will attempt to evacuate up to 873 people within 90 seconds .,0
UPM Kymmene has generated seventeen consecutive quarters of positive Cash Flow from Operations .,1
Founded in 1946 Strand Associates which provides civil environmental transportation electrical and mechanical engineering services has 350 employees at 10 offices in Wisconsin Alabama Illinois Indiana Kentucky and Ohio .,0
Fortum expects its annual capital expenditure in the next four to five years to be within a range of EUR 0.8 1 .2 billion as earlier announced .,0
In 2006 452 million tonnes CO2 of EUA EU Allowance ; emissions credit in EU was traded with an underlying market value approx .,0
According to Tyrv+inen estimation Japan is a very essential location in terms of Finnair Asian strategy .,0
Fiskars a 360 year old global business best known for its orange handled scissors expects to derive synergies of EUR5 million a year by consolidating certain parts of the housewares division where the two compete .,1
Nordea was the cheapest also for a couple in their 30s with debt .,0
The companies aim to close the deal before the end of the year .,0
Several large stocks tacked lower however .,-1
With this the company will exit the contract manufacturing service segment .,0
The tower it chose to add due to go into operation in the summer will increase total capacity to 80 broadsheet or 160 tabloid pages with the ability to run 32 and 48 page products side by side .,1
Boomerang Boats had net sales of EUR 4.1 mn and it made an operating profit of EUR 0.4 mn in 2006 .,0
It operates under three distinct brands United Supermarkets Market Street and United Supermercado .,0
The contractor of the shopping center China State Construction Engineering Corporation has previously built e.g. airports hotels and factories for large international customers in different parts of the world .,0
The order was valued at USD12 .2 m.,0
To our members and partners the use of IT will mostly be apparent in the increased efficiency of the results service observes Perttu Puro from Tradeka .,1
Sponda Plc Stock Exchange Release 5 December 2006 at 15.45 EUR 1.5 BILLION SYNDICATED CREDIT FACILITY FOR SPONDA Sponda has signed an agreement for a one year syndicated credit facility for a total of EUR 1.5 billion .,1
Lule+ municipality has awarded YIT a 2 year contract for property management of about one third of the municipality properties with a total area of 140000 sq. metres .,1
 We have significant experience in smartphone functionality in the development of mobile Internet services and in uniting the two into a smooth user experience .,1
The company designs manufactures and markets high quality clothing interior decoration textiles bags and other accessories .,0
Finnish holding company Panostaja Oyj said on June 12 2007 it has signed a letter of intent to acquire local Lahden Lampokasittely Oy and Heatmasters Oy active in the heat treatment of metals for a total 3.1 mln euro $ 4.1 mln .,0
As a result some 20 persons will no longer be needed .,-1
Cohen & Steers Inc. 5 534 530 shares representing 4.985 % of the share capital and voting rights .,0
Amer Sports divests an industrial site in Rumilly France This announcement is distributed by Thomson Reuters on behalf of Thomson Reuters clients .,0
Outotec is currently delivering a new oil shale processing plant for Eesti Energia in Estonia based on Enefit technology which has been developed jointly by Eesti Energia and Outotec .,0
The commission said the hydrogen peroxide and PBS market was worth about 470 million euros in 2000 .,0
In addition the production personnel of the Sport Division have been given a temporary lay off warning .,-1
Konecranes has previously communicated an estimated reduction of about 1600 employees on group level in 2009 .,-1
Operating profit was EUR 9.8 mn compared to a loss of EUR 12.7 mn in the corresponding period in 2009 .,1
Our customers include companies in the energy and process industry sectors in particular .,0
The fair value of the property portfolio doubled as a result of the Kapiteeli acquisition and totalled EUR 2686.2 1259.7 million .,1
Kazgiprotsvetmet and Outotec Finland have signed an agreement on strategic cooperation in the marketing and providing of minerals processing and metallurgical plants and related services in Kazakhstan and the surrounding countries .,1
It rose by 15.7 % and by 24.8 % in Finland and abroad respectively to EUR 7 million and EUR 4.2 million due to a 40 % growth in Russia .,1
The agreement will provide The Switch with double the converter capacity whilst opening up further manufacturing locations in China .,1
The last job losses related to these reductions will take place during 2010 .,0
On Wednesday he announced that the government would propose granting a licence for two reactors one to be built by Fennovoima and the other by TVO .,1
Finnish cargo handling solutions company Cargotec Oyj said on June 17 2008 that it will acquire New Zealand tailgates distributor Zepro Tailgate 1987 Limited for an undisclosed sum .,0
Trading under the name Velta UK a former Uponor brand the company has been Uponor long term partner in supplying Velta branded systems particularly for the commercial and industrial building sector in the UK and internationally .,0
Finnish insurance company Fennia and Kesko Group are ending their loyal customer cooperation .,-1
The credit covers approximately 70 % of the ship price .,0
Danish company FLSmidth has acknowledged that it has violated a patent held by Finnish Metso .,-1
 As a part of the Eseries business promise the Nokia E50 has been equipped with a variety of email solutions in a small and stylised package said Dave Grannan general manager Enterprise Solutions Nokia .,0
In the fourth quarter of 2009 Atria net loss shrank to EUR 1.2 million from EUR 5.9 million and net sales contracted to EUR 340.4 million from EUR 361.1 million .,1
Both Mr Walden and Mr Ignatius will be responsible also for the newspapers business result .,0
The fair value of the company investment properties went down to EUR 2.768 billion at the end of 2009 from EUR 2.916 billion a year earlier .,-1
The company reported net sales of 302 mln euro $ 441.6 mln and an operating margin of 16 pct in 2006 .,0
Mformation provides enhanced management of these applications by enabling configuration and control throughout their lifecycle .,0
The contract covers HDO platform AC800 and CXE880 optical Fttb nodes designed to increase the forward and return path capacity of the transmission networks .,1
Finnish Kemira net sales EUR decreased to EUR 1259.6 mn in January June 2009 from EUR 1425.1 mn in January June 2008 .,-1
Their names have not yet been released .,0
Ahlstrom headquartered in Helsinki Finland is a global company involved in the development manufacture and marketing of high performance fibre based materials .,0
Vaisala expertise in lightning data and information systems is based on extensive experience and investment in R&D .,0
Aldata noted that its Voice Supply Chain Technology approach enables VDW to integrate with warehouse management systems .,0
Kalmar Espana generated net sales of some 11.3 mln euro $ 14.8 mln in 2005 .,0
The commission found evidence of several meetings to discuss the cartel including one in a Brussels restaurant in November 1997 at which the companies discussed price increases .,0
 Serving customers locally is one of the cornerstones of customer focus for us .,0
Last year third quarter result had been burdened by costs stemming from restructuring in the US .,-1
Section Regional News The demand in Finnair Asian traffic measured in passenger kilometers was up 34.9 % in August compare to last year .,1
In 2009 it reported net sales of approximately EUR 6mn .,0
