source,author,title,description,url,urlToImage,publishedAt,content,cleaned text,no_sw_text
"{'id': None, 'name': 'MarketWatch'}",Philip van Doorn,Elon Musk has egg on his face,"Even Wedbush analyst Daniel Ives, normally a relentless cheerleader for Tesla TSLA, called Elon Musk’s performance during the company’s earnings call on Wednesday a “train wreck.”",https://www.marketwatch.com/story/elon-musk-has-egg-on-his-face-5ee6c762,https://images.mktw.net/im-18501351/social,2024-01-26 16:03:00+00:00,Shares of Tesla Inc. were down 26.5% for 2024 through Thursday. It is one thing for investors to be disappointed at the electric vehicle makers continuing series of price cuts and increasing competit… [+9599 chars],Shares of Tesla Inc were down for through Thursday It is one thing for investors to be disappointed at the electric vehicle makers continuing series of price cuts and increasing competit chars ,Shares Tesla Inc Thursday one thing investors disappointed electric vehicle makers continuing series price cuts increasing competit chars
"{'id': None, 'name': 'MarketWatch'}",Steve Goldstein,"Tesla cuts prices in Germany after reductions in China, report says","Tesla cut the prices of its Model Y in Germany, just a week after cutting prices in China, according to a report.",https://www.marketwatch.com/story/tesla-cuts-prices-in-germany-after-reductions-in-china-report-says-78795e78,https://images.mktw.net/im-795874/social,2024-01-17 10:22:00+00:00,"Tesla cut the prices of its Model Y in Germany, just a week after cutting prices in China, according to a report.
Reuters reported that Tesla 
 TSLA,
 +0.47%
has cut one Model Y vehicle by 9% and… [+403 chars]",Tesla cut the prices of its Model Y in Germany just a week after cutting prices in China according to a report Reuters reported that Tesla TSLA has cut one Model Y vehicle by and chars ,Tesla cut prices Model Germany week cutting prices China according report Reuters reported Tesla TSLA cut one Model vehicle chars
"{'id': None, 'name': 'MarketWatch'}",Claudia Assis,Tesla warns Wall Street it could sell fewer vehicles this year,"Tesla Inc. warned investors late Wednesday that it may make fewer vehicles this year than in 2023 to focus on its next-generation EV, and the stock tumbled more than 3% after-hours Wednesday.",https://www.marketwatch.com/story/tesla-warns-wall-street-it-could-sell-fewer-vehicles-this-year-db9d0d82,https://images.mktw.net/im-475346/social,2024-01-24 21:16:00+00:00,"Tesla Inc. warned investors late Wednesday that it may make fewer vehicles this year than in 2023 to focus on its next-generation EV, sending the stock tumbling more than 3% after-hours Wednesday. In… [+981 chars]",Tesla Inc warned investors late Wednesday that it may make fewer vehicles this year than in to focus on its next generation EV sending the stock tumbling more than after hours Wednesday In chars ,Tesla Inc warned investors late Wednesday may make fewer vehicles year focus next generation EV sending stock tumbling hours Wednesday chars
"{'id': None, 'name': 'MarketWatch'}",Tomi Kilgore,Nio’s stock tanks toward a record-tying loss streak as Tesla price cuts weigh,"Nio's stock on Wednesday dove to its lowest prices seen in nearly four years, as investors in the China-based electric-vehicle maker continued to express concerns over price cuts by Tesla Inc. and a weakening economy.",https://www.marketwatch.com/story/nios-stock-tanks-toward-a-record-tying-loss-streak-as-tesla-price-cuts-weigh-89a7ccfe,https://images.mktw.net/im-19267906/social,2024-01-17 16:44:00+00:00,"Shares of Nio Inc. on Wednesday dove to its lowest prices seen in nearly four years, as investors in the China-based electric-vehicle maker continued to express concerns over price cuts by Tesla Inc.… [+2165 chars]",Shares of Nio Inc on Wednesday dove to its lowest prices seen in nearly four years as investors in the China based electric vehicle maker continued to express concerns over price cuts by Tesla Inc chars ,Shares Nio Inc Wednesday dove lowest prices seen nearly four years investors China based electric vehicle maker continued express concerns price cuts Tesla Inc chars
"{'id': None, 'name': 'MarketWatch'}",Tomi Kilgore,Tesla’s stock hasn’t fallen enough – this analyst sees another 30% downside,"Although Tesla’s stock already took a sound beating after yet another disappointing earnings report, one analyst believes it wasn’t punished nearly enough.",https://www.marketwatch.com/story/teslas-stock-hasnt-fallen-enough-this-analyst-sees-another-30-downside-76e3f580,https://images.mktw.net/im-72300848/social,2024-01-26 13:37:00+00:00,"Although Tesla Inc.s stock already took a sound beating after yet another disappointing earnings report this week, one analyst believes it wasnt punished nearly enough.The EV giants stock 
 TSLA,
 … [+2484 chars]",Although Tesla Inc s stock already took a sound beating after yet another disappointing earnings report this week one analyst believes it wasnt punished nearly enough The EV giants stock TSLA chars ,Although Tesla Inc stock already took sound beating yet another disappointing earnings report week one analyst believes wasnt punished nearly enough EV giants stock TSLA chars
"{'id': None, 'name': 'MarketWatch'}",Emily Bary,Tesla’s ‘train-wreck’ earnings call has even the bulls begging executives to act like adults,"As Tesla cuts prices and scales back its delivery goals, even one prominent bull is feeling spooked about a lack of clarity.",https://www.marketwatch.com/story/teslas-train-wreck-earnings-call-has-even-the-bulls-begging-executives-to-act-like-adults-6a75192e,https://images.mktw.net/im-807338/social,2024-01-25 13:55:00+00:00,"As Tesla Inc. cuts prices and scales back its delivery goals, even one prominent bull is feeling spooked about the electric-vehicle companys lack of clarity on the road ahead. Wedbushs Daniel Ives, o… [+2740 chars]",As Tesla Inc cuts prices and scales back its delivery goals even one prominent bull is feeling spooked about the electric vehicle companys lack of clarity on the road ahead Wedbushs Daniel Ives o chars ,Tesla Inc cuts prices scales back delivery goals even one prominent bull feeling spooked electric vehicle companys lack clarity road ahead Wedbushs Daniel Ives chars
"{'id': None, 'name': 'MarketWatch'}",Emily Bary,"Tesla could be staring down a year of ‘growing pains,’ analyst cautions","Wells Fargo automotive analyst says Tesla ‘screens the most at risk’ this earnings season, and he sees various challenges for the year ahead",https://www.marketwatch.com/story/tesla-could-be-staring-down-a-year-of-growing-pains-analyst-cautions-4c6c5fde,https://images.mktw.net/im-810863/social,2024-01-17 20:51:00+00:00,"Tesla Inc. is about to offer investors some hints of whats to come, and one analyst thinks Wall Street should brace for growing pains.Wells Fargo analyst Colin Langan expects about 13% growth in Tesl… [+1706 chars]",Tesla Inc is about to offer investors some hints of whats to come and one analyst thinks Wall Street should brace for growing pains Wells Fargo analyst Colin Langan expects about growth in Tesl chars ,Tesla Inc offer investors hints whats come one analyst thinks Wall Street brace growing pains Wells Fargo analyst Colin Langan expects growth Tesl chars
"{'id': None, 'name': 'MarketWatch'}",Jeremy C. Owens,"It’s the Trillionaires’ stock market now, and the rest of us are just along for the ride","A handful of ""magnificent"" tech stocks have been driving the stock market. Could that concentration turn into a problem for your 401(k) or stock portfolio?",https://www.marketwatch.com/story/its-the-trillionaires-stock-market-now-and-the-rest-of-us-are-just-along-for-the-ride-8fafe6e5,https://images.mktw.net/im-03531406/social,2024-01-18 20:13:00+00:00,"The Trillionaires rescued the S&amp;P 500 in 2023, and they are now in full control of the market for better or worse.By Trillionaires, I mean the seven U.S. companies that have been valued at $1 tri… [+3672 chars]",The Trillionaires rescued the S amp P in and they are now in full control of the market for better or worse By Trillionaires I mean the seven U S companies that have been valued at tri chars ,Trillionaires rescued amp P full control market better worse Trillionaires mean seven U companies valued tri chars
"{'id': None, 'name': 'MarketWatch'}",Tomi Kilgore,"Hertz’s stock gets downgraded, and Tesla has a lot to do with it","Hertz lost another bullish endorsement from a Wall Street analyst, and the car-rental company’s association with electric-vehicle giant Tesla Inc. is a big reason behind the latest downgrade.",https://www.marketwatch.com/story/hertzs-stock-gets-downgraded-and-tesla-has-a-lot-to-do-with-it-bd0e2ee2,https://images.mktw.net/im-43880307/social,2024-01-25 18:43:00+00:00,"Hertz Global Holdings Inc. lost another bullish endorsement from a Wall Street analyst, and the car-rental companys association with electric-vehicle giant Tesla Inc. is a big reason behind the lates… [+2952 chars]",Hertz Global Holdings Inc lost another bullish endorsement from a Wall Street analyst and the car rental companys association with electric vehicle giant Tesla Inc is a big reason behind the lates chars ,Hertz Global Holdings Inc lost another bullish endorsement Wall Street analyst car rental companys association electric vehicle giant Tesla Inc big reason behind lates chars
"{'id': None, 'name': 'MarketWatch'}",Cody Willard,"10 predictions for stocks, crypto, AI, gold and bonds in 2024",Here's what hedge-fund manager Cody Willard expects for the financial markets this year.,https://www.marketwatch.com/story/10-predictions-for-stocks-crypto-ai-gold-and-bonds-in-2024-b4820631,https://images.mktw.net/im-94893836/social,2024-01-10 00:19:00+00:00,"Here are some markets, economy and stock predictions for 2024, including what would be a most unexpected outcome for the U.S. economy. First, a reminder: The markets and the economy are not the same.… [+4794 chars]",Here are some markets economy and stock predictions for including what would be a most unexpected outcome for the U S economy First a reminder The markets and the economy are not the same chars ,markets economy stock predictions including would unexpected outcome U economy First reminder markets economy chars
