newscontents,label
$BYND JPMorgan reels in expectations on Beyond Meat ,0
$CCL $RCL Nomura points to bookings weakness at Carnival and Royal Caribbean ,0
$CX Cemex cut at Credit Suisse J.P. Morgan on weak building outlook ,0
$ESS BTIG Research cuts to Neutral ,0
$FNKO Funko slides after Piper Jaffray PT cut ,0
$FTI TechnipFMC downgraded at Berenberg but called Top Pick at Deutsche Bank ,0
$GM GM loses a bull ,0
$GM Deutsche Bank cuts to Hold ,0
$GTT Cowen cuts to Market Perform,0
$HNHAF $HNHPD $AAPL Trendforce cuts iPhone estimate after Foxconn delay ,0
$HOG Moodys warns on Harley Davidson ,0
$HXL Citing aero ties Wells slashes PT on Hexcel ,0
$I Intelsat cut to Market Perform at Raymond James ,0
$KRG Compass Point cuts to Sell ,0
$LK Muddy Waters goes short Luckin Coffee ,0
$MANT ManTech downgraded ahead of difficult comps ,0
$MDCO Oppenheimer cuts to Perform,0
$MPLX $MPC MPLX cut at Credit Suisse on potential dilution from Marathon strategic review ,0
$MSGN Imperial downgrades MSG Networks amid sports free airwaves ,0
$MTLS Piper hits the Materialise sidelines ,0
$NCBS Hovde Group cuts to Market Perform,0
$NFLX New Netflix bear steps out ,0
$SHOP Shopify loses a bull ,0
$STAY Nomura Instinet loses confidence in Extended Stay America ,0
$TWLO Twilio gets Street low target on virus risk ,0
$VCLT $SPLB $IGLB Guggenheims Minerd sees more gloom ahead in stocks ,0
$VIAC $VIACA $FOX MoffettNathanson expects NFL TV costs to skyrocket ,0
$VIAC Barrington Research cuts to Mkt Perform ,0
$XLNX Mizuho cuts XLNX target on near term headwinds ,0
2U downgraded to sector weight from overweight at KeyBanc Capital,0
Alphabet and Facebook price targets cut at Barclays on weaker ad outlook ,0
AMC Networks price target cut to $35 from $39 at Imperial Capital,0
American Software downgraded to neutral from buy at B. Riley FBR,0
Analysts question Silicon Motions margin outlook,0
Anchiano Therapeutics downgraded to peer perform from outperform at Oppenheimer,0
Arch Coal stock price target cut to $97 from $100 at B. Riley FBR,0
AT&T downgraded by MoffettNathanson to sell on concern wireless cant carry the whole company,0
AT&T shares sink after MoffettNathanson downgrade,0
AT&T stock falls after MoffettNathanson downgrades saying dividend looks less compelling,0
Aurora Cannabis stock price target cut to C$1.00 from C$1.75 at Stifel Nicolaus,0
Autodesk downgraded to underweight from neutral at JPMorgan,0
BAML warns of profit pressure for Hormel,0
Barclays cools on Molson Coors,0
Becton Dickinson downgraded to outperform from strong buy at Raymond James,0
Becton Dickinson downgraded to sector weight from overweight at KeyBanc Capital,0
Berry Petroleum downgraded to market perform from outperform at BMO Capital,0
Berry Petroleum downgraded to underweight from sector weight at KeyBanc Capital,0
Bluebird bio downgraded to in line from outperform at Evercore ISI,0
Bluebird bio stock price target cut to $86 from $172 at Evercore ISI,0
Canada Goose downgraded to buy from strong buy at CFRA,0
Canada Goose stock price target cut to $50 from $65 at CFRA,0
Childrens Place downgraded as e commerce puts margins at risk,0
Childrens Place price target cut to $80 from $105 at Monness Crespi Hardt,0
Cinedigm Corp. Analysts Are Cutting Their Estimates Heres What You Need To Know,0
Clovis Oncology stock price target cut to $8 from $12 at Evercore ISI,0
Cumberland Pharmaceuticals stock price target cut to $9.00 from $12.25 at B. Riley FBR,0
Dell HPE targets trimmed on compute headwinds,0
Dish may not be key winner amid Intelsat woes analyst,0
Disney downgraded as analyst says parks attendance could take 2 years to normalize ,0
Downgrades 11/25 $AEO $COLM $DGII $EQT $ESS $EVRG $GTT $KRG $MANT $MDCO $NFLX $OMP $PEG $PRU $SBT $SITC $TAP $VIPS,0
Downgrades 4/7 $MLND $MSGN $MTLS $O $OC $OVV $PEB $PK $PLYA $QEP $RHP $RPAI $SAIA $SDC $SHOP $SKY $SLG $SM $TWLO,0
Dropbox on watch after stinging Spruce Point report,0
Earnings Update electroCore Inc. Just Reported And Analysts Are Trimming Their Forecasts,0
Evercore downgrades bluebird bio and Clovis in premarket analyst action,0
Fannie Mae Freddie Mac downgraded to sell as analyst cites unintended consequences of CARES Act ,0
Forescout downgraded to neutral from buy at Monness Crespi Hardt,0
FormFactor cut on unsustainable revenue outlook,0
Funko downgraded to hold from buy at Stifel Nicolaus,0
Funko stock price target cut to $10 from $25 at Stifel Nicolaus,0
GM stock price target cut to $30 from $32 at Deutsche Bank,0
Grubhub gains a bear on margin view,0
H&P downgraded at Argus as drilling industry weakness seen persisting,0
Hanesbrands stock price target cut to $13 vs. $16 at BofA Merrill Lynch,0
Helmerich & Payne started at sell with $34 stock price target at Deutsche Bank,0
Hexo stock price target cut to C$5 from C$6 at MKM Partners,0
Home Depot stock price target cut to $237 from $240 at Instinet,0
Intelsat downgraded to underweight from neutral at J.P. Morgan,0
Intelsat lower after Morgan Stanley target cut,0
Jefferies warns on L Brands,0
Kohls stock price target cut to $48 from $52 at Deutsche Bank,0
Kohls stock price target cut to $50 from $53 at Wedbush,0
L Brands stock price target cut to $16 from $20 at Wedbush,0
Lovesac stock price target cut to $28 vs. $33 at Canaccord,0
Lyft stock price target cut to $58 from $70 at Deutsche Bank,0
Macerich downgraded to underweight from sector weight at KeyBanc Capital,0
