newscontents,label
$BYND JPMorgan reels in expectations on Beyond Meat ,-1
$CCL $RCL Nomura points to bookings weakness at Carnival and Royal Caribbean ,-1
$CX Cemex cut at Credit Suisse J.P. Morgan on weak building outlook ,-1
$ESS BTIG Research cuts to Neutral ,-1
$FNKO Funko slides after Piper Jaffray PT cut ,-1
$FTI TechnipFMC downgraded at Berenberg but called Top Pick at Deutsche Bank ,-1
$GM GM loses a bull ,-1
$GM Deutsche Bank cuts to Hold ,-1
$GTT Cowen cuts to Market Perform,-1
$HNHAF $HNHPD $AAPL Trendforce cuts iPhone estimate after Foxconn delay ,-1
$HOG Moodys warns on Harley Davidson ,-1
$HXL Citing aero ties Wells slashes PT on Hexcel ,-1
$I Intelsat cut to Market Perform at Raymond James ,-1
$KRG Compass Point cuts to Sell ,-1
$LK Muddy Waters goes short Luckin Coffee ,-1
$MANT ManTech downgraded ahead of difficult comps ,-1
$MDCO Oppenheimer cuts to Perform,-1
$MPLX $MPC MPLX cut at Credit Suisse on potential dilution from Marathon strategic review ,-1
$MSGN Imperial downgrades MSG Networks amid sports free airwaves ,-1
$MTLS Piper hits the Materialise sidelines ,-1
$NCBS Hovde Group cuts to Market Perform,-1
$NFLX New Netflix bear steps out ,-1
$SHOP Shopify loses a bull ,-1
$STAY Nomura Instinet loses confidence in Extended Stay America ,-1
$TWLO Twilio gets Street low target on virus risk ,-1
$VCLT $SPLB $IGLB Guggenheims Minerd sees more gloom ahead in stocks ,-1
$VIAC $VIACA $FOX MoffettNathanson expects NFL TV costs to skyrocket ,-1
$VIAC Barrington Research cuts to Mkt Perform ,-1
$XLNX Mizuho cuts XLNX target on near term headwinds ,-1
2U downgraded to sector weight from overweight at KeyBanc Capital,-1
Alphabet and Facebook price targets cut at Barclays on weaker ad outlook ,-1
AMC Networks price target cut to $35 from $39 at Imperial Capital,-1
American Software downgraded to neutral from buy at B. Riley FBR,-1
Analysts question Silicon Motions margin outlook,-1
Anchiano Therapeutics downgraded to peer perform from outperform at Oppenheimer,-1
Arch Coal stock price target cut to $97 from $100 at B. Riley FBR,-1
AT&T downgraded by MoffettNathanson to sell on concern wireless cant carry the whole company,-1
AT&T shares sink after MoffettNathanson downgrade,-1
AT&T stock falls after MoffettNathanson downgrades saying dividend looks less compelling,-1
Aurora Cannabis stock price target cut to C$1.00 from C$1.75 at Stifel Nicolaus,-1
Autodesk downgraded to underweight from neutral at JPMorgan,-1
BAML warns of profit pressure for Hormel,-1
Barclays cools on Molson Coors,-1
Becton Dickinson downgraded to outperform from strong buy at Raymond James,-1
Becton Dickinson downgraded to sector weight from overweight at KeyBanc Capital,-1
Berry Petroleum downgraded to market perform from outperform at BMO Capital,-1
Berry Petroleum downgraded to underweight from sector weight at KeyBanc Capital,-1
Bluebird bio downgraded to in line from outperform at Evercore ISI,-1
Bluebird bio stock price target cut to $86 from $172 at Evercore ISI,-1
Canada Goose downgraded to buy from strong buy at CFRA,-1
Canada Goose stock price target cut to $50 from $65 at CFRA,-1
Childrens Place downgraded as e commerce puts margins at risk,-1
Childrens Place price target cut to $80 from $105 at Monness Crespi Hardt,-1
Cinedigm Corp. Analysts Are Cutting Their Estimates Heres What You Need To Know,-1
