submission_id,submission_title,comment_text,upvotes
17scpov,$NVDA $AMD rise - Chip gains as sector ending week strong,"The surge today was due to TSM's monthly revenue data, exciting people of the growth rebound after many months of negative MoM sales.",3
17scpov,$NVDA $AMD rise - Chip gains as sector ending week strong,How is Nvidia selling to Chinese startups?,2
17scpov,$NVDA $AMD rise - Chip gains as sector ending week strong,"I have tsm at 99

I've been waiting to sell forever, but with the positive news, im debating holding, and it's #1. But its also an adr",1
17scpov,$NVDA $AMD rise - Chip gains as sector ending week strong,Selling because it went down. Should've averaged down.,2
17leoks,Thoughts on $AMD?,If I draw a line to the top with a blue crayon it certainly looks like a buy to me! Price target 286.82.,59
17leoks,Thoughts on $AMD?,"i own some shares of AMD, and plan to hold for a couple more years. Too much AI hype to ignore and if AMD can figure it out, they stand to gain alot, which is why, as we saw,  the stock refuses to quit",46
17leoks,Thoughts on $AMD?,"I think im sticking to my plan of investing into amd as much as is required to keep it at 2% of pf no matter the price, plan to quit trading and also sell most of my long positions and reinvest it all into my ETFs in about 5 years, I hope they can further steal more of the market by then.",8
17leoks,Thoughts on $AMD?,I like AMD $120 Dec 15 Call,9
17leoks,Thoughts on $AMD?,Need more lines,6
17leoks,Thoughts on $AMD?,Looks like an algo pump from this view. I wouldn't bet long term. But I'm never right either,10
17leoks,Thoughts on $AMD?,su bae ❤️,3
17leoks,Thoughts on $AMD?,Dont fall for it. Avoid till multiple weeks of upside.,20
17leoks,Thoughts on $AMD?,Buy!!!,6
17leoks,Thoughts on $AMD?,Did you buy when the price break the tendency line? If not start believing,2
17leoks,Thoughts on $AMD?,"PC Sales are turning a corner, and Lisa Su said “AI” a couple times",2
17leoks,Thoughts on $AMD?,Bought a couple of grand worth of AMD sold this morning for a quick 8% gain.  Watch for awhile. NVDA is the play.,2
17leoks,Thoughts on $AMD?,Bull flag,2
17leoks,Thoughts on $AMD?,I wish I had bought nvidia instead,3
17leoks,Thoughts on $AMD?,"Long term has taken market share from Intel to become a better value, and is Nvidias only real competitor in the GPU market. 

I see good things for AMD.",2
17leoks,Thoughts on $AMD?,Accumulated shares when the price was between 75-80€ and I am happy to keep the average in that range for now. Will revisit around the time of annual reporting.,1
17leoks,Thoughts on $AMD?,Wish i bought calls for friday this morning at open,1
17leoks,Thoughts on $AMD?,[deleted],0
17leoks,Thoughts on $AMD?,Looks like a nice little bag to hold. Definitely a pump.,-2
17leoks,Thoughts on $AMD?,i dunno.. AMD just reminds me of a CHEAP GENERIC that just doesn’t compare .Swing trade that’s it.,0
17leoks,Thoughts on $AMD?,834 PE ratio is insane,-5
17leoks,Thoughts on $AMD?,Someone needs liquidity so they let it run up,0
17leoks,Thoughts on $AMD?,RSI and MACD just a waste of space. Mate you can see the RSI looks exactly like the price chart lol. Just follow price.,0
17leoks,Thoughts on $AMD?,Dont haha im on AI trading crypto and averaging $30 per day $$,0
17leoks,Thoughts on $AMD?,When everyone’s thinking green n buying. I’ll be looking into puts at the near resistance,-1
17leoks,Thoughts on $AMD?,"Start buying long term puts in very small amount. 

Long term = June to December 2024

Edit: my expected price target is 70 to 80.",-6
17leoks,Thoughts on $AMD?,I’d rather have Nvidia 500 calls,-2
17leoks,Thoughts on $AMD?,"Well, what I THINK and what it actually is are most definitely 2 different things.",1
17leoks,Thoughts on $AMD?,I didn’t pull the trigger last week when it was at $93. Kicking myself. Was hoping it would go down more.,1
17leoks,Thoughts on $AMD?,Fed pump list name…,1
17leoks,Thoughts on $AMD?,"Actually, yes I do have a thought but my lawyer said speaking the truth only gets you in trouble.",1
17leoks,Thoughts on $AMD?,What app are you using? Thanks.,1
17leoks,Thoughts on $AMD?,"It broke on the daily chart, it’s good for a swing till 120, if you’re lucky 130.",1
17leoks,Thoughts on $AMD?,I’m short at 107.75 🤷🏻‍♂️,1
17leoks,Thoughts on $AMD?,Thoughts? Technical analysis is a BS?,1
17leoks,Thoughts on $AMD?,I DCA'd since their disastrous trashdozer CPUs. Man has it been an amazing ride.,1
17leoks,Thoughts on $AMD?,Long term hold get in now while u can,1
17leoks,Thoughts on $AMD?,If it continues the trend of 7.5% a day it will be 100m per share in no time.,43
17leoks,Thoughts on $AMD?,">Too much AI hype

sir, you missed the train and entered the wrong one  


look at Nvidia stocks - thats when the AI hype went",-19
17leoks,Thoughts on $AMD?,$4 gang rise up,1
